,Year,State,Length,Value,Type_1,Type_2,Expense_1,Expense_2
332,2013.0,Tennessee,4-year,22046.0,Private,,Fees,Tuition
333,2013.0,Tennessee,4-year,9090.0,Private,,Room,Board
334,2013.0,Tennessee,2-year,3526.0,Public,In-State,Fees,Tuition
335,2013.0,Tennessee,4-year,7472.0,Public,In-State,Fees,Tuition
336,2013.0,Tennessee,4-year,7944.0,Public,In-State,Room,Board
337,,,,,,,,
338,2013.0,Tennessee,4-year,22412.0,Public,Out-of-State,Fees,Tuition
339,9999.0,Tennessee,4-year,7944.0,Public,Out-of-State,Room,Board
340,2013.0,Texas,4-year,25174.0,Private,,Fees,Tuition
341,9999.0,Texas,4-year,9686.0,Private,,Room,Board
342,2013.0,Texas,2-year,1815.0,Public,In-State,Fees,Tuition
343,2013.0,Texas,4-year,7402.0,Public,In-State,Fees,Tuition
344,2013.0,Texas,4-year,8538.0,Public,In-State,Room,Board
345,2013.0,Texas,2-year,5075.0,Public,Out-of-State,Fees,Tuition
346,2013.0,Texas,4-year,20044.0,Public,Out-of-State,Fees,Tuition
347,2013.0,Texas,4-year,9999999.0,Public,Out-of-State,Room,Board
348,2013.0,UT,4-year,7758.0,Private,,Fees,Tuition
349,2013.0,UT,4-year,7572.0,Private,,Room,Board
350,2013.0,UT,2-year,3170.0,Public,In-State,Fees,Tuition
351,2013.0,UT,4-year,5375.0,Public,In-State,Fees,Tuition
352,2013.0,UT,4-year,6701.0,Public,In-State,,Board
353,2013.0,UT,2-year,10012.0,Public,Out-of-State,Fees,Tuition
354,2013.0,UT,4-year,16631.0,Public,Out-of-State,Fees,Tuition
355,2013.0,UT,4-year,6701.0,Public,Out-of-State,Room,Board
356,2013.0,VT,4-year,35130.0,Private,,Fees,Tuition
357,2013.0,VT,4-year,11125.0,Private,,Room,Board
358,2013.0,VT,2-year,5452.0,Public,In-State,Fees,Tuition
359,2013.0,VT,4-year,13524.0,Public,In-State,Fees,Tuition
360,2013.0,VT,4-year,9766.0,Public,In-State,Room,Board
361,2013.0,VT,2-year,10804.0,Public,Out-of-State,Fees,Tuition
362,2013.0,VT,4-year,9999999.0,Public,Out-of-State,Fees,Tuition
363,2013.0,VT,4-year,9766.0,Public,Out-of-State,Room,Board
364,2013.0,Virginia,4-year,21524.0,Private,,Fees,Tuition
365,2013.0,Virginia,4-year,8959.0,Private,,Room,Board
366,2013.0,Virginia,2-year,3910.0,Public,In-State,Fees,Tuition
367,2013.0,Virginia,4-year,9866.0,Public,In-State,Fees,Tuition
368,2013.0,Virginia,4-year,8977.0,Public,In-State,Room,Board
369,2013.0,Virginia,2-year,8592.0,Public,Out-of-State,Fees,Tuition
370,2013.0,Virginia,4-year,27079.0,Public,Out-of-State,Fees,Tuition
371,2013.0,Virginia,4-year,8977.0,Public,Out-of-State,Room,Board
372,2013.0,WA,4-year,30133.0,Private,,Fees,Tuition
373,,,,,,,,
374,2013.0,WA,2-year,3957.0,Public,In-State,Fees,Tuition
375,,,,,,,,
376,2013.0,WA,4-year,10069.0,Public,In-State,Room,Board
377,,,,,,,,
378,2013.0,WA,4-year,26314.0,Public,Out-of-State,Fees,Tuition
379,2013.0,WA,4-year,10069.0,Public,Out-of-State,Room,Board
380,,,,,,,,
381,2013.0,West Virginia,4-year,8399.0,Private,,Room,Board
382,2013.0,West Virginia,2-year,3135.0,Public,In-State,Fees,Tuition
383,2013.0,West Virginia,4-year,5599.0,Public,In-State,Fees,Tuition
384,2013.0,West Virginia,4-year,8527.0,Public,In-State,,Board
385,2013.0,West Virginia,2-year,7798.0,Public,Out-of-State,Fees,Tuition
386,2013.0,West Virginia,4-year,16582.0,Public,Out-of-State,Fees,Tuition
387,2013.0,West Virginia,4-year,8527.0,Public,Out-of-State,Room,Board
388,2013.0,Wisconsin,4-year,25500.0,Private,,Fees,Tuition
389,,,,,,,,
390,2013.0,Wisconsin,2-year,4073.0,Public,In-State,Fees,Tuition
391,2013.0,Wisconsin,4-year,8339.0,Public,In-State,Fees,Tuition
392,2013.0,Wisconsin,4-year,9999999.0,Public,In-State,Room,Board
393,2013.0,Wisconsin,2-year,6824.0,Public,Out-of-State,Fees,Tuition
394,2013.0,Wisconsin,4-year,20146.0,Public,Out-of-State,Fees,Tuition
395,2013.0,Wisconsin,4-year,9999999.0,Public,Out-of-State,Room,Board
396,2013.0,Wyoming,4-year,13562.0,Private,,,Tuition
397,2013.0,Wyoming,2-year,2420.0,Public,In-State,Fees,Tuition
398,2013.0,Wyoming,4-year,3642.0,Public,In-State,Fees,Tuition
399,2013.0,Wyoming,4-year,9999999.0,Public,In-State,,Board
400,2013.0,Wyoming,2-year,5998.0,Public,Out-of-State,Fees,Tuition
401,2013.0,Wyoming,4-year,10962.0,Public,Out-of-State,Fees,Tuition
402,2013.0,Wyoming,4-year,8837.0,Public,Out-of-State,Room,Board
403,2014.0,Alabama,4-year,14201.0,Private,,Fees,Tuition
